Monitor Name,Monitor Identifier,Nitrogen Dioxide Micrograms Per Cubic Metre,Particulate Matter Less Than 10 Micrometres,Sensor Read Time,Sensor Read Day Of Week,Graph Label X,Easting,Northing,Latitude,Longitude,Spatial Accuracy,Location,Last Uploaded,Organisation URI,:@computed_region_hxwp_gyfc,:@computed_region_6i9a_26nj
Endsleigh Gardens,1466150,24.935,8.86,19/3/19 13:00,3,78 Tue 13:00,529688,182472,51.52629,-0.13194,Approximate location of the monitor,"(-0.13194, 51.52629)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Endsleigh Gardens,1466150,28.741,3.32,15/3/19 11:00,6,74 Fri 11:00,529688,182472,51.52629,-0.13194,Approximate location of the monitor,"(-0.13194, 51.52629)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Endsleigh Gardens,1466150,62.669,2.32,16/3/19 0:00,7,75 Sat 00:00,529688,182472,51.52629,-0.13194,Approximate location of the monitor,"(-0.13194, 51.52629)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,50.215,,21/3/19 17:00,5,80 Thu 17:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,60.99,,17/3/19 17:00,1,76 Sun 17:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,48.513,,16/3/19 9:00,7,75 Sat 09:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,35.018,,19/3/19 1:00,3,78 Tue 01:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,50.815,,16/3/19 10:00,7,75 Sat 10:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,42.324,,17/3/19 15:00,1,76 Sun 15:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,52.691,,17/3/19 19:00,1,76 Sun 19:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,56.751,,16/3/19 17:00,7,75 Sat 17:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Gordon Square,107150,54.066,,17/3/19 4:00,1,76 Sun 04:00,529824,182181,51.523643,-0.130093,Approximate location of the monitor,"(-0.130093, 51.523643)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,71.121,,19/3/19 19:00,3,78 Tue 19:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,29.95,,18/3/19 4:00,2,77 Mon 04:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,57.56,,17/3/19 20:00,1,76 Sun 20:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Gordon Square,107150,67.071,,17/3/19 21:00,1,76 Sun 21:00,529824,182181,51.523643,-0.130093,Approximate location of the monitor,"(-0.130093, 51.523643)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,27.425,,19/3/19 15:00,3,78 Tue 15:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
